Company Code,Data Source,SO Number,Record Index,Billing Number,Original Prepayment Request Number,Amount,Assigned Case,Assigned Scenario,OneToMany Number,ZFSN,Generated Prepayment Request Number,Processed,TransactionOrderNumbers
BGH2,JSON,2BG0000017,1,2BG8000021,TestNOC4,1987,UnderDelivery-Happy,OneToMany,2,"119, 125","TestNOC4, TestNOC4",true,"2BG0000024, 2BG0000025"
BGH2,JSON,"2BG0000018, 2BG0000018","1, 2","2BG8000022, 2BG8000023","Testz96s, TestCSBX","770, 1987",OverDelivery-Happy,ManyToOne,2,3735,Testz96s,true,2BG0000026
BGH2,JSON,"2BG0000019, 2BG0000019","1, 2","2BG8000024, 2BG8000025","TestXAUY, Test6oTM","2260, 1360",OverDelivery-Happy,ManyToOne,2,4568,TestXAUY,true,2BG0000027
BGH2,JSON,"2BG0000020, 2BG0000020","1, 2","2BG8000026, 2BG8000027","TestXaZw, TestwrM8","589, 2230",OverDelivery-Happy,ManyToOne,2,2986,TestXaZw,true,2BG0000028
BGH2,JSON,2BG0000021,1,2BG8000028,TestL5bk,1266,UnderDelivery-Happy,OneToMany,3,"44, 20, 316","TestL5bk, TestL5bk, TestL5bk",true,"2BG0000029, 2BG0000030, 2BG0000031"
BGH2,JSON,"2BG0000022, 2BG0000022","1, 2","2BG8000029, 2BG8000030","Test3UjF, Test4utR","1677, 1135",UnderDelivery-Happy,ManyToOne,2,2812,Test3UjF,true,2BG0000032
BGH2,JSON,2BG0000023,1,2BG8000031,TestwVxu,655,UnderDelivery-Happy,OneToMany,2,"31, 153","TestwVxu, TestwVxu",true,"2BG0000033, 2BG0000034"
HUH1,JSON,1HU0000015,1,1HU8000018,TestphST,1728,UnderDelivery-Happy,OneToMany,2,"398, 1201","TestphST, TestphST",true,"1HU0000022, 1HU0000023"
HUH1,JSON,"1HU0000016, 1HU0000016","1, 2","1HU8000019, 1HU8000020","TestV8Qv, TestsDYF","1331, 1003",OverDelivery-Happy,ManyToOne,2,3264,TestV8Qv,true,1HU0000024
HUH1,JSON,"1HU0000017, 1HU0000017, 1HU0000017","1, 2, 3","1HU8000021, 1HU8000022, 1HU8000023","TestEmok, Test8ZV1, TestbL0g","1688, 2236, 2306",OverDelivery-Happy,ManyToOne,3,6702,TestEmok,true,1HU0000025
HUH1,JSON,"1HU0000018, 1HU0000018, 1HU0000018","1, 2, 3","1HU8000024, 1HU8000025, 1HU8000026","TesthVBx, TestOsUH, TestaInS","2021, 1262, 1611",OverDelivery-Happy,ManyToOne,3,5334,TesthVBx,true,1HU0000026
HUH1,JSON,1HU0000019,1,1HU8000027,Test8Z3d,1609,UnderDelivery-Happy,OneToMany,2,"47, 442","Test8Z3d, Test8Z3d",true,"1HU0000027, 1HU0000028"
HUH1,JSON,"1HU0000020, 1HU0000020","1, 2","1HU8000028, 1HU8000029","TestK70G, TestBQ0R","936, 2209",UnderDelivery-Happy,ManyToOne,2,3145,TestK70G,true,1HU0000029
HUH1,JSON,1HU0000021,1,1HU8000030,TestPKgj,1659,UnderDelivery-Happy,OneToMany,2,"119, 860","TestPKgj, TestPKgj",true,"1HU0000030, 1HU0000031"
SKH1,JSON,1SK0000012,1,1SK8000012,Testgsw2,1817,UnderDelivery-Happy,OneToMany,2,"221, 374","Testgsw2, Testgsw2",true,"1SK0000019, 1SK0000020"
SKH1,JSON,"1SK0000013, 1SK0000013","1, 2","1SK8000013, 1SK8000014","TestP5rx, TestIx9a","2322, 1455",OverDelivery-Happy,ManyToOne,2,4376,TestP5rx,true,1SK0000021
SKH1,JSON,"1SK0000014, 1SK0000014, 1SK0000014","1, 2, 3","1SK8000015, 1SK8000016, 1SK8000017","TestFZ97, TestdXNG, TestxBYE","1542, 2303, 2325",OverDelivery-Happy,ManyToOne,3,7046,TestFZ97,true,1SK0000022
SKH1,JSON,"1SK0000015, 1SK0000015","1, 2","1SK8000018, 1SK8000019","Testm9xH, Testhlck","2215, 2078",OverDelivery-Happy,ManyToOne,2,4956,Testm9xH,true,1SK0000023
SKH1,JSON,1SK0000016,1,1SK8000020,TestnQJh,1015,UnderDelivery-Happy,OneToMany,2,"29, 78","TestnQJh, TestnQJh",true,"1SK0000024, 1SK0000025"
SKH1,JSON,"1SK0000017, 1SK0000017, 1SK0000017","1, 2, 3","1SK8000021, 1SK8000022, 1SK8000023","TestgDLG, Test2FqP, TestJrdv","2031, 1403, 1009",UnderDelivery-Happy,ManyToOne,3,4443,TestgDLG,true,1SK0000026
SKH1,JSON,1SK0000018,1,1SK8000024,TestvLUf,1128,UnderDelivery-Happy,OneToMany,3,"50, 94, 116","TestvLUf, TestvLUf, TestvLUf",true,"1SK0000027, 1SK0000028, 1SK0000029"
CZH1,JSON,1CZ0000016,1,1CZ8000015,Test2qx4,552,UnderDelivery-Happy,OneToMany,3,"50, 18, 445","Test2qx4, Test2qx4, Test2qx4",true,"1CZ0000023, 1CZ0000024, 1CZ0000025"
CZH1,JSON,"1CZ0000017, 1CZ0000017, 1CZ0000017","1, 2, 3","1CZ8000016, 1CZ8000017, 1CZ8000018","TestwzE1, Test6hUZ, TestvKCE","1059, 1301, 2280",OverDelivery-Happy,ManyToOne,3,5112,TestwzE1,true,1CZ0000026
CZH1,JSON,"1CZ0000018, 1CZ0000018, 1CZ0000018","1, 2, 3","1CZ8000019, 1CZ8000020, 1CZ8000021","TestZbFE, TestsNZh, TesteqBp","1885, 1660, 1844",OverDelivery-Happy,ManyToOne,3,5452,TestZbFE,true,1CZ0000027
CZH1,JSON,"1CZ0000019, 1CZ0000019","1, 2","1CZ8000022, 1CZ8000023","TestKaCw, TestrN7h","1589, 845",OverDelivery-Happy,ManyToOne,2,3272,TestKaCw,true,1CZ0000028
CZH1,JSON,1CZ0000020,1,1CZ8000024,TestAqZX,2060,UnderDelivery-Happy,OneToMany,2,"459, 568","TestAqZX, TestAqZX",true,"1CZ0000029, 1CZ0000030"
CZH1,JSON,"1CZ0000021, 1CZ0000021, 1CZ0000021","1, 2, 3","1CZ8000025, 1CZ8000026, 1CZ8000027","TestxZJT, Testat4N, TestZCFe","1371, 1664, 1317",UnderDelivery-Happy,ManyToOne,3,4352,TestxZJT,true,1CZ0000031
CZH1,JSON,1CZ0000022,1,1CZ8000028,TestBxAJ,1029,UnderDelivery-Happy,OneToMany,3,"45, 69, 278","TestBxAJ, TestBxAJ, TestBxAJ",true,"1CZ0000032, 1CZ0000033, 1CZ0000034"
